epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1726.57,0.71289,0.41086,0.01001,0.73283,0.55677,0.62683,0.46646,1.34517,1.55129,0.02698,0.0014588,0.0014588,0.0014588
43,1766.06,0.71848,0.4141,0.01045,0.75183,0.54111,0.63524,0.46943,1.36493,1.4529,0.02726,0.0014456,0.0014456,0.0014456
44,1807.51,0.72415,0.39055,0.00992,0.7941,0.52858,0.63745,0.48333,1.34284,1.61212,0.02683,0.0014324,0.0014324,0.0014324
45,1848.8,0.723,0.40942,0.01008,0.75951,0.58418,0.67267,0.49847,1.33839,1.43741,0.02655,0.0014192,0.0014192,0.0014192
46,1890.2,0.70298,0.39428,0.00972,0.79103,0.54245,0.6465,0.49235,1.31838,1.56255,0.02659,0.001406,0.001406,0.001406
47,1931.32,0.68135,0.38101,0.00938,0.79164,0.5278,0.64515,0.49802,1.34932,1.71902,0.0271,0.0013928,0.0013928,0.0013928
48,1972.42,0.68302,0.37587,0.00969,0.80502,0.57557,0.66621,0.50159,1.31433,1.37593,0.02598,0.0013796,0.0013796,0.0013796
49,2013.82,0.66637,0.36506,0.00926,0.75334,0.58496,0.67645,0.51253,1.32735,1.50549,0.02626,0.0013664,0.0013664,0.0013664
50,2054.97,0.66409,0.37638,0.00926,0.79776,0.53093,0.64524,0.49935,1.30268,1.53863,0.02625,0.0013532,0.0013532,0.0013532
51,2096.1,0.65401,0.35549,0.00891,0.73907,0.55896,0.60793,0.46339,1.33922,1.588,0.02652,0.00134,0.00134,0.00134
52,2137.33,0.64622,0.35582,0.009,0.76961,0.58071,0.66212,0.50366,1.34245,1.45816,0.02679,0.0013268,0.0013268,0.0013268
53,2178.54,0.63528,0.35498,0.00908,0.79069,0.56852,0.66325,0.50385,1.3298,1.40929,0.02683,0.0013136,0.0013136,0.0013136
54,2219.86,0.63906,0.34338,0.00861,0.77234,0.51605,0.62634,0.48207,1.38233,1.63662,0.02823,0.0013004,0.0013004,0.0013004
55,2261.07,0.63781,0.34665,0.00879,0.78408,0.57728,0.66776,0.51301,1.29528,1.50491,0.02543,0.0012872,0.0012872,0.0012872
56,2301.75,0.62368,0.33579,0.00874,0.80105,0.55364,0.66088,0.50268,1.33195,1.5731,0.02648,0.001274,0.001274,0.001274
57,2341.24,0.61794,0.33794,0.00859,0.7824,0.57721,0.66428,0.52177,1.29666,1.4808,0.02592,0.0012608,0.0012608,0.0012608
58,2380.76,0.60723,0.32943,0.00834,0.79359,0.53893,0.6476,0.49687,1.34033,1.6656,0.02696,0.0012476,0.0012476,0.0012476
59,2420.11,0.6169,0.33557,0.00846,0.77227,0.53876,0.6438,0.49556,1.38378,1.76812,0.02856,0.0012344,0.0012344,0.0012344
60,2459.48,0.60611,0.32217,0.00841,0.78311,0.53722,0.62222,0.49201,1.33263,1.78771,0.02695,0.0012212,0.0012212,0.0012212
61,2499.05,0.60784,0.32741,0.0083,0.76513,0.57244,0.66278,0.51622,1.30254,1.54348,0.02558,0.001208,0.001208,0.001208
62,2538.77,0.58997,0.31773,0.00814,0.77784,0.5646,0.67048,0.53361,1.29934,1.64034,0.02552,0.0011948,0.0011948,0.0011948
63,2580.16,0.58035,0.30134,0.00803,0.82605,0.55129,0.67831,0.5283,1.29564,1.49383,0.02528,0.0011816,0.0011816,0.0011816
64,2621.32,0.56272,0.29379,0.00778,0.76748,0.56382,0.65619,0.51927,1.30446,1.66843,0.026,0.0011684,0.0011684,0.0011684
65,2662.5,0.55333,0.28993,0.00775,0.77721,0.5573,0.66186,0.52441,1.32744,1.70838,0.02708,0.0011552,0.0011552,0.0011552
66,2703.38,0.56149,0.30353,0.00748,0.80587,0.53641,0.66054,0.52487,1.28552,1.70454,0.02515,0.001142,0.001142,0.001142
67,2742.81,0.55672,0.29502,0.00767,0.75988,0.57948,0.66113,0.503,1.31374,1.52575,0.02548,0.0011288,0.0011288,0.0011288
68,2782.19,0.56469,0.30592,0.00758,0.75472,0.54816,0.63859,0.50301,1.30202,1.61258,0.0258,0.0011156,0.0011156,0.0011156
69,2821.68,0.55166,0.29392,0.00746,0.80732,0.54033,0.66237,0.52503,1.30618,1.70317,0.0259,0.0011024,0.0011024,0.0011024
70,2861.21,0.5602,0.29774,0.00753,0.72657,0.5787,0.65321,0.51482,1.31661,1.59821,0.02671,0.0010892,0.0010892,0.0010892
71,2900.63,0.53862,0.29582,0.00723,0.81194,0.53955,0.64477,0.50555,1.28876,1.6651,0.0252,0.001076,0.001076,0.001076
72,2940.2,0.53712,0.29005,0.00724,0.77516,0.5372,0.63557,0.5094,1.27227,1.77626,0.02517,0.0010628,0.0010628,0.0010628
73,2981.4,0.53811,0.2822,0.0074,0.75373,0.53446,0.61905,0.49824,1.29779,1.78555,0.02606,0.0010496,0.0010496,0.0010496
74,3022.53,0.54241,0.28138,0.00743,0.79694,0.56069,0.65414,0.52308,1.27029,1.71171,0.0255,0.0010364,0.0010364,0.0010364
75,3063.61,0.53115,0.27983,0.00733,0.77942,0.53128,0.64172,0.50926,1.31231,1.72186,0.02688,0.0010232,0.0010232,0.0010232
76,3103.07,0.52362,0.26953,0.00698,0.79926,0.55364,0.66128,0.52407,1.29525,1.71953,0.02605,0.00101,0.00101,0.00101
77,3142.52,0.51247,0.26949,0.00689,0.80234,0.55626,0.67939,0.53499,1.29989,1.5735,0.02562,0.0009968,0.0009968,0.0009968
78,3181.99,0.50897,0.27605,0.00675,0.73304,0.59514,0.66977,0.52955,1.26886,1.60887,0.0248,0.0009836,0.0009836,0.0009836
79,3221.51,0.50432,0.27901,0.0067,0.7801,0.55282,0.66405,0.53378,1.26932,1.63208,0.02504,0.0009704,0.0009704,0.0009704
80,3260.96,0.48644,0.2632,0.00664,0.75514,0.55785,0.66349,0.5359,1.28418,1.76008,0.02571,0.0009572,0.0009572,0.0009572
81,3300.53,0.5029,0.26795,0.00682,0.78011,0.55991,0.66029,0.53587,1.26751,1.78552,0.02523,0.000944,0.000944,0.000944
82,3339.87,0.48303,0.25564,0.00644,0.78698,0.54346,0.65731,0.53338,1.28614,1.71088,0.02593,0.0009308,0.0009308,0.0009308
83,3379.31,0.4798,0.25499,0.00649,0.79366,0.55423,0.67006,0.5351,1.29034,1.61286,0.0259,0.0009176,0.0009176,0.0009176
84,3418.85,0.48252,0.25218,0.00652,0.8164,0.53275,0.63921,0.51865,1.2516,1.8163,0.02438,0.0009044,0.0009044,0.0009044
85,3458.25,0.47865,0.2549,0.00644,0.84782,0.51527,0.67095,0.54886,1.2666,1.83227,0.0251,0.0008912,0.0008912,0.0008912
86,3497.85,0.47166,0.2443,0.00638,0.81677,0.54581,0.68027,0.54894,1.27089,1.63581,0.02548,0.000878,0.000878,0.000878
87,3537.6,0.46606,0.2413,0.00628,0.77634,0.56266,0.67471,0.54941,1.27125,1.7013,0.02496,0.0008648,0.0008648,0.0008648
