epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,607.604,0.87477,0.73132,1.16785,0.9174,0.87867,0.94095,0.73676,0.82354,0.62996,1.13632,0.0014456,0.0014456,0.0014456
44,622.523,0.87562,0.73282,1.16845,0.92458,0.85351,0.93631,0.73306,0.84369,0.62856,1.14484,0.0014324,0.0014324,0.0014324
45,637.236,0.85631,0.71846,1.15898,0.94231,0.87025,0.93556,0.72538,0.81588,0.64598,1.14239,0.0014192,0.0014192,0.0014192
46,651.967,0.83817,0.70025,1.14547,0.91149,0.87986,0.94479,0.75118,0.79829,0.5834,1.11404,0.001406,0.001406,0.001406
47,666.285,0.81956,0.66853,1.14223,0.9243,0.86392,0.95045,0.73579,0.80823,0.58784,1.13659,0.0013928,0.0013928,0.0013928
48,680.32,0.83184,0.68871,1.14535,0.927,0.89557,0.93845,0.74708,0.85382,0.60135,1.17956,0.0013796,0.0013796,0.0013796
49,694.521,0.80729,0.66727,1.1317,0.92622,0.85443,0.93695,0.74088,0.80199,0.62425,1.13543,0.0013664,0.0013664,0.0013664
50,708.628,0.82807,0.68441,1.1453,0.90556,0.91028,0.95272,0.76893,0.77338,0.56719,1.09811,0.0013532,0.0013532,0.0013532
51,722.717,0.82455,0.68259,1.14434,0.89048,0.88291,0.93986,0.75831,0.74211,0.56216,1.079,0.00134,0.00134,0.00134
52,736.773,0.80424,0.66921,1.12641,0.94444,0.86067,0.95105,0.76173,0.77184,0.56757,1.09925,0.0013268,0.0013268,0.0013268
53,750.8,0.80462,0.65898,1.12961,0.88692,0.86869,0.93106,0.73272,0.81517,0.63072,1.14325,0.0013136,0.0013136,0.0013136
54,764.805,0.79039,0.63183,1.12289,0.95651,0.87658,0.94436,0.7588,0.76338,0.57338,1.10342,0.0013004,0.0013004,0.0013004
55,778.817,0.79171,0.65128,1.12132,0.94324,0.89873,0.95625,0.77809,0.72092,0.52128,1.05687,0.0012872,0.0012872,0.0012872
56,792.833,0.79198,0.64421,1.11976,0.95857,0.87868,0.95084,0.77639,0.74139,0.54887,1.07884,0.001274,0.001274,0.001274
57,806.957,0.75862,0.61334,1.10217,0.93846,0.91684,0.96728,0.78915,0.69472,0.50236,1.05603,0.0012608,0.0012608,0.0012608
58,820.91,0.77165,0.61334,1.10703,0.92746,0.89008,0.95639,0.77359,0.78312,0.55788,1.11347,0.0012476,0.0012476,0.0012476
59,834.942,0.76586,0.62323,1.0993,0.94482,0.9019,0.96288,0.7907,0.7111,0.47665,1.0623,0.0012344,0.0012344,0.0012344
60,849.018,0.74827,0.60163,1.09437,0.92716,0.92722,0.97066,0.79209,0.71711,0.50934,1.04886,0.0012212,0.0012212,0.0012212
61,862.982,0.75105,0.60944,1.10031,0.95322,0.90273,0.95821,0.78754,0.77011,0.53006,1.10842,0.001208,0.001208,0.001208
62,876.936,0.74869,0.60559,1.09724,0.92537,0.88924,0.93974,0.76824,0.74966,0.59384,1.10842,0.0011948,0.0011948,0.0011948
63,890.963,0.73005,0.59156,1.08822,0.91148,0.94498,0.96165,0.80371,0.7117,0.4923,1.06914,0.0011816,0.0011816,0.0011816
